,graph,algo,seed,s,t,dist,time_dist,search_space
300,08blocks,BiBFS-python,3404785993,4,23,2,5.698204040527344e-05,4
301,08blocks,BiBFS-python,3404785993,9,32,2,2.9802322387695312e-05,4
302,08blocks,BiBFS-python,3404785993,17,24,2,2.288818359375e-05,4
303,08blocks,BiBFS-python,3404785993,12,5,2,2.09808349609375e-05,4
304,08blocks,BiBFS-python,3404785993,26,32,2,1.9788742065429688e-05,4
305,08blocks,BiBFS-python,3404785993,27,5,2,2.002716064453125e-05,4
306,08blocks,BiBFS-python,3404785993,4,25,2,2.002716064453125e-05,4
307,08blocks,BiBFS-python,3404785993,6,28,2,2.002716064453125e-05,4
308,08blocks,BiBFS-python,3404785993,4,22,2,2.002716064453125e-05,4
309,08blocks,BiBFS-python,3404785993,7,1,2,1.9073486328125e-05,4
310,08blocks,BiBFS-python,3404785993,4,15,2,1.9073486328125e-05,4
311,08blocks,BiBFS-python,3404785993,30,23,2,1.9788742065429688e-05,4
312,08blocks,BiBFS-python,3404785993,20,8,2,1.9073486328125e-05,4
313,08blocks,BiBFS-python,3404785993,34,14,2,1.8835067749023438e-05,4
314,08blocks,BiBFS-python,3404785993,11,14,2,1.9788742065429688e-05,4
315,08blocks,BiBFS-python,3404785993,29,15,2,1.9073486328125e-05,4
316,08blocks,BiBFS-python,3404785993,24,16,2,2.09808349609375e-05,4
317,08blocks,BiBFS-python,3404785993,12,20,2,2.002716064453125e-05,4
318,08blocks,BiBFS-python,3404785993,21,19,2,2.3126602172851562e-05,4
319,08blocks,BiBFS-python,3404785993,30,29,1,1.6927719116210938e-05,2
320,08blocks,BiBFS-python,3404785993,15,34,2,2.6941299438476562e-05,4
321,08blocks,BiBFS-python,3404785993,9,26,2,3.0040740966796875e-05,4
322,08blocks,BiBFS-python,3404785993,19,5,2,1.9073486328125e-05,4
323,08blocks,BiBFS-python,3404785993,33,10,2,1.8835067749023438e-05,4
324,08blocks,BiBFS-python,3404785993,37,5,2,1.71661376953125e-05,3
325,08blocks,BiBFS-python,3404785993,15,34,2,2.002716064453125e-05,4
326,08blocks,BiBFS-python,3404785993,10,9,1,1.2159347534179688e-05,2
327,08blocks,BiBFS-python,3404785993,12,26,2,1.9788742065429688e-05,4
328,08blocks,BiBFS-python,3404785993,1,37,2,1.811981201171875e-05,3
329,08blocks,BiBFS-python,3404785993,7,4,2,2.09808349609375e-05,4
