graph,algo,seed,s,t,dist,time_dist,search_space
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,4,23,2,8.988380432128906e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,4,23,2,7.104873657226562e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,4,23,2,4.410743713378906e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,4,23,2,4.315376281738281e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,9,32,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,9,32,2,4.00543212890625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,9,32,2,1.9788742065429688e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,9,32,2,3.504753112792969e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,17,24,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,17,24,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,17,24,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,17,24,2,3.600120544433594e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,12,5,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,12,5,2,3.790855407714844e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,12,5,2,1.9073486328125e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,12,5,2,3.4809112548828125e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,26,32,2,1.71661376953125e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,26,32,2,3.886222839355469e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,26,32,2,2.0265579223632812e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,26,32,2,3.62396240234375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,27,5,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,27,5,2,3.814697265625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,27,5,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,27,5,2,3.5762786865234375e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,4,25,2,1.6927719116210938e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,4,25,2,3.886222839355469e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,4,25,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,4,25,2,3.409385681152344e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,6,28,2,1.811981201171875e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,6,28,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,6,28,2,1.7881393432617188e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,6,28,2,3.3855438232421875e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,4,22,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,4,22,2,3.814697265625e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,4,22,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,4,22,2,3.695487976074219e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,7,1,2,1.621246337890625e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,7,1,2,3.695487976074219e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,7,1,2,1.8358230590820312e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,7,1,2,2.7894973754882812e-05,3
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,4,15,2,1.9788742065429688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,4,15,2,4.315376281738281e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,4,15,2,2.09808349609375e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,4,15,2,3.504753112792969e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,30,23,2,1.5974044799804688e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,30,23,2,4.410743713378906e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,30,23,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,30,23,2,3.910064697265625e-05,4
08blocks,python-BiBFS_VertexBalancedApproximate,3404785993,20,8,2,1.811981201171875e-05,4
08blocks,python-BiBFS_ExactExpandSmallerQueue,3404785993,20,8,2,4.696846008300781e-05,47
08blocks,python-BiBFS_ExactCheckDirectEdges,3404785993,20,8,2,1.8835067749023438e-05,4
08blocks,python-BiBFS_EdgeBalancedApproximate,3404785993,20,8,2,3.361701965332031e-05,4
